Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Roots in Heaven, Crown in Hell	QT6FH2586977	199945229925	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Roots in Hell, Crown in Heaven	QT6FH2586976	199945229925	2	100	Song	GB	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Roots in Hell, Crown in Heaven	QT6FH2586976	199945229925	1	100	Song	IT	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Roots in Hell, Crown in Heaven	QT6FH2586976	199945229925	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Broken Old Man's Lament	QT6FH2586973	199945229925	2	100	Song	AT	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Break Before Bend	QT6FH2586971	199945229925	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Slop.exe (V1)	QT6FH2584883	199945236305	1	100	Song	LR	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Initiation: Static Flavor Drop (V2)	QT6FH2584870	199945236305	1	100	Song	IT	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Church Murch (V2)	QT6FH2584869	199945236305	1	100	Song	IL	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Tornado Chip Bag Oracle (V1)	QT6FH2584864	199945236305	1	100	Song	PH	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	ABC's of Fascism (V1)	QT6FH2584861	199945236305	1	100	Song	IL	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Congressional Cage Match (V1)	QT6FH2584857	199945236305	1	100	Song	ID	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Initiation: Static Flavor Drop (V1)	QT6FH2584856	199945236305	1	100	Song	KR	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Church Murch (V1)	QT6FH2584855	199945236305	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	USMC (Unconstitutional Slavery Mocking Justice) (V1)	QT6F52595962	199949614819	1	100	Song	MX	0	0.00091222	0.00000000
